GO:0015711,organic anion transport,367,3,0.1,7.5e-05
GO:0006820,anion transport,479,3,0.13,0.00016
GO:0015718,monocarboxylic acid transport,217,2,0.06,0.00133
GO:0046942,carboxylic acid transport,275,2,0.07,0.00213
GO:0006811,ion transport,1323,3,0.36,0.00324
GO:0071702,organic substance transport,1435,3,0.39,0.00410
GO:0071578,zinc ion import across plasma membrane,19,1,0.01,0.00511
GO:0015074,DNA integration,440,2,0.12,0.00535
GO:0015701,bicarbonate transport,31,1,0.01,0.00833
GO:0071577,zinc ion transmembrane transport,34,1,0.01,0.00913
GO:0055085,transmembrane transport,1957,3,0.53,0.00995
GO:0008028,monocarboxylic acid transmembrane transp...,200,2,0.05,0.00089
GO:0005342,organic acid transmembrane transporter a...,308,2,0.07,0.00209
GO:0046943,carboxylic acid transmembrane transporte...,308,2,0.07,0.00209
GO:0140410,solute:bicarbonate symporter activity,23,1,0.01,0.00548
GO:0022857,transmembrane transporter activity,1930,3,0.46,0.00678
GO:0015106,bicarbonate transmembrane transporter ac...,29,1,0.01,0.00691
GO:0005215,transporter activity,1993,3,0.48,0.00743
GO:0005385,zinc ion transmembrane transporter activ...,34,1,0.01,0.00809
